task_name,language_name,llm_model,compilation_status,runtime_errors_count,correct_response_score,compilation_status_score,runtime_errors_score,execution_time_sec,execution_time_score,line_coverage_score,branch_coverage_score,assertions_mccabe_ratio_score,assertions_density_score,warnings_count_score,timeout_occurred
Binary strings,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.715430736541748,0.9761523087819417,0.9804,0.9623,0.0,0.31182795698924726,0.9020771513353116,False
Bitcoin/address validation,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7721269130706787,0.9742624362309774,0.9773000000000001,0.96,0.05303030303030303,0.25806451612903225,0.9703264094955489,False
Box the compass,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.8697421550750732,0.9710085948308309,0.4493,0.4568,0.5606060606060606,0.8494623655913979,0.9792284866468842,False
Brownian tree,Python,deepseek_coder,,,1,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
CSV data manipulation,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6645200252532959,0.9778493324915568,0.7626999999999999,0.7528,0.0,0.12903225806451613,0.973293768545994,False
CUSIP,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6176910400390625,0.9794102986653646,0.8214,0.7667,0.03363636363636364,0.3870967741935484,0.9792284866468842,False
Cartesian product of two or more lists,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6103470325469971,0.9796550989151,0.7826000000000001,0.6897,0.21212121212121213,0.3763440860215053,0.9703264094955489,False
Catalan numbers,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.5901031494140625,0.9803298950195313,0.8,0.7631999999999999,0.00696969696969697,0.16129032258064516,0.9703264094955489,False
Chaos game,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,1.486130952835083,0.9504623015721639,0.8416,0.8288,0.0393939393939394,0.3440860215053763,0.9584569732937686,False
Check Machin-like formulas,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7507431507110596,0.9749752283096313,0.0727,0.0533,0.005151515151515152,0.11827956989247311,0.9792284866468842,False
Check that file exists,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6728413105010986,0.9775719563166301,0.5909,0.5832999999999999,0.0,0.4408602150537634,0.9673590504451038,False
Checkpoint synchronization,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,2.12036395072937,0.9293212016423543,0.9136,0.8889,0.2727272727272727,0.16129032258064516,0.973293768545994,False
Cheryl's birthday,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6260411739349365,0.9791319608688355,0.9759,0.9626,0.012121212121212121,0.21505376344086022,0.9198813056379822,False
Chinese zodiac,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6862940788269043,0.9771235307057698,0.85,0.7736,0.6666666666666666,0.46236559139784944,0.9376854599406528,False
Cholesky decomposition,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7755241394042969,0.9741491953531901,0.5556,0.42310000000000003,0.015151515151515152,0.10752688172043011,0.9554896142433235,False
Circles of given radius through two points,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,1.3030509948730469,0.9565649668375651,0.9041,0.8817,0.07575757575757576,0.2258064516129032,0.973293768545994,False
Cistercian numerals,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6786072254180908,0.9773797591527303,0.5139,0.5521,0.06060606060606061,0.6129032258064515,0.9821958456973294,False
Color wheel,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6727757453918457,0.9775741418202718,0.725,0.6545000000000001,0.0,0.0967741935483871,0.9436201780415431,False
Colour pinstripe/Display,Python,deepseek_coder,,,1,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,
Combinations and permutations,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7541577816009521,0.9748614072799683,0.029900000000000003,0.026000000000000002,1.0,0.8064516129032258,0.9673590504451038,False
Command-line arguments,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7081789970397949,0.9763940334320068,0.6,0.5952000000000001,0.0,0.4516129032258064,0.9643916913946587,False
Commatizing numbers,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6789741516113281,0.9773675282796224,0.9868000000000001,0.9767,0.06666666666666667,0.23655913978494622,0.9436201780415431,False
Concurrent computing,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6302578449249268,0.9789914051691692,0.9048,0.8519,0.030303030303030304,0.1827956989247312,0.9851632047477745,False
Continued fraction,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7426424026489258,0.9752452532450359,0.9854999999999999,0.9079999999999999,0.005757575757575757,0.15053763440860216,0.973293768545994,False
Convex hull,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6862177848815918,0.9771260738372802,0.8234999999999999,0.7631999999999999,0.0,0.2258064516129032,0.9703264094955489,False
Conway's Game of Life,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.5870630741119385,0.9804312308629354,0.5263,0.5,0.0,0.03225806451612903,0.9881305637982196,False
Count in factors,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6031970977783203,0.9798934300740559,0.7544,0.7108,0.05181818181818182,0.43010752688172044,0.9762611275964391,False
Cramer's rule,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7437388896942139,0.9752087036768595,0.0889,0.06559999999999999,0.05303030303030303,0.16129032258064516,0.9792284866468842,False
Create a file,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.673818826675415,0.9775393724441528,0.619,0.64,0.0,0.3763440860215053,0.9821958456973294,False
Create a two-dimensional array at runtime,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,1.0588459968566897,0.9647051334381104,0.2182,0.19399999999999998,0.0,0.3870967741935484,0.9584569732937686,False
Create an HTML table,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.6875588893890381,0.9770813703536987,0.8649,0.7551000000000001,0.040303030303030306,0.16129032258064516,0.9673590504451038,False
Cuban primes,Python,deepseek_coder,CompileStatus.OK,,1,1,0,,0.0,0.0,0.0,0.0,0.04301075268817204,0.9347181008902077,True
Currency,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.5797781944274902,0.9806740601857503,0.9795999999999999,0.9623,0.0,0.43010752688172044,0.9703264094955489,False
Cyclotomic polynomial,Python,deepseek_coder,CompileStatus.OK,0.0,1,1,1,0.7407450675964355,0.9753084977467855,0.4359,0.46399999999999997,0.03212121212121212,0.8602150537634409,0.9762611275964391,False
